"","GARCH","EGARCH","GJR","RV"
"2011-03-06",1.77466475626576,1.79673596585297,1.73184111182515,2.51268958003882
"2011-03-13",1.60093157741827,1.6083651532005,1.58908164467203,2.37415370953917
"2011-03-20",1.59807333145877,1.84483917396005,1.72132561548584,2.73297635028987
"2011-03-27",1.75029801803149,2.24163109857208,2.06241981585001,1.84058847441801
"2011-04-03",2.05852850888114,2.04711682335101,1.87375844254456,1.13717710666593
"2011-04-10",1.95034206601773,1.85135881714245,1.70673455929261,0.482944776500474
"2011-04-17",1.74437198147755,1.73339346251466,1.58494521844898,0.917427621746315
"2011-04-24",1.60827868781294,1.73496002724964,1.5415184367594,1.90608738256414
"2011-05-01",1.61258877518344,1.60735508587508,1.45514017459949,1.1796204314244
"2011-05-08",1.75996994391989,1.53150053481923,1.40269572288659,1.26256001795923
"2011-05-15",1.80445241459293,1.94963392326793,1.78907608374942,1.73070557858183
"2011-05-22",1.62581256885898,1.77169731229984,1.63740485464224,1.34164377475683
"2011-05-29",1.49488859917286,1.67688784995989,1.53483287411484,1.36701009123922
"2011-06-05",1.38850124200251,1.55475114036644,1.44498666411303,2.71924447248334
"2011-06-12",1.74830246008465,2.21174219210465,2.11281593515023,1.9692426893249
"2011-06-19",1.93724677899426,2.60714447299395,2.43862683568774,2.18881105848113
"2011-06-26",1.72710138863531,2.22393106576916,2.14089257440986,1.98999815215295
"2011-07-03",1.56792895552287,1.99669126831034,1.91262112682232,2.49619188511728
"2011-07-10",3.05918294050934,1.9740196393845,1.85645058972869,1.26387431749466
"2011-07-17",2.63117528339157,1.75387360528463,1.68485639028481,2.09461180148464
"2011-07-24",2.50065845258245,2.23120619741049,2.10404216642962,2.25976662768851
"2011-07-31",2.42472994289638,2.02027074175648,1.89601064269858,2.28537374830257
"2011-08-07",2.89349435192378,3.19337761599289,3.22349622615957,5.5802390044589
"2011-08-14",4.44856979015268,5.29580143903919,5.79661747644057,10.4951678675127
"2011-08-21",3.86262595399529,4.5498867592079,5.02869422204887,5.35803702063995
"2011-08-28",4.05151126933556,4.94257786408897,5.3693837126953,4.21629394859673
"2011-09-04",4.13116976056673,4.0448546841388,4.57108235420577,4.00706559605313
"2011-09-11",3.50724681310756,3.32141975469253,3.87925922763564,4.12305515873136
"2011-09-18",3.1076824064055,3.19442694759071,3.50401972902339,2.51529940561499
"2011-09-25",3.70704204534913,2.84285888739956,3.06998921179629,4.5567305167076
"2011-10-02",4.59783972796216,4.84723231244819,5.3236797183646,4.22762055583494
"2011-10-09",3.8962871813354,3.927631350013,4.50696206064904,4.51380723129305
